stat,family,mean,variance,stored_mass,overflow,normalization_error,support_max
pts,mixture,1.1749499718020144,2.494964147291297,0.9999999999998594,1.4095327382354196e-13,4.440892098500626e-16,80
pts,mixture,4.910227517276345,20.401817021380644,0.9999998392563315,1.6074366885017005e-07,4.440892098500626e-16,80
pts,mixture,4.462335982060695,10.048273332820987,0.9999999999998288,1.714432773714239e-13,2.220446049250313e-16,80
pts,mixture,1.9653724720572763,5.643820131856794,0.9999999986975547,1.3024454778632129e-09,2.220446049250313e-16,80
pts,mixture,2.371419469003975,7.685769494826927,0.9999999862460944,1.3753905423670584e-08,1.1102230246251565e-16,80
pts,mixture,3.812472509391022,12.617487991417885,0.9999999971019125,2.8980877010739645e-09,2.220446049250313e-16,80
pts,mixture,2.6739263230180654,8.90275674238834,0.9999999848656475,1.513435260100745e-08,0.0,80
pts,mixture,6.384960220858067,18.621553545247338,0.9999999998863689,1.1363131191858002e-10,2.220446049250313e-16,80
pts,mixture,17.440796975238875,45.62570887206158,0.9999999831345076,1.686549157411489e-08,8.881784197001252e-16,80
pts,mixture,2.771629592897534,8.808992654542614,0.999999995950528,4.049472261414357e-09,2.220446049250313e-16,80
pts,mixture,1.3290116001019716,3.0240718683154153,0.9999999999979683,2.031922357889247e-12,2.220446049250313e-16,80
pts,mixture,5.585099372729815,14.752642070329276,0.9999999999959878,4.012292109941378e-12,0.0,80
pts,mixture,17.195987572376673,57.02505358611131,0.9999995845147114,4.1548528908801263e-07,4.440892098500626e-16,80
pts,mixture,4.9012296018161,14.88628157955014,0.9999999999719255,2.807515312973511e-11,6.661338147750939e-16,80
pts,mixture,11.574120162205658,25.73041908962057,0.9999999999851105,1.4889234404782432e-11,3.3306690738754696e-16,80
pts,mixture,14.007637993066057,39.55922345313414,0.9999999960458462,3.954154113879971e-09,2.220446049250313e-16,80
pts,mixture,9.441758239502613,33.992523777669604,0.9999999719556449,2.804435482020685e-08,2.220446049250313e-16,80
pts,mixture,21.81578598515396,66.86684449467725,0.9999999999322289,6.777022015790696e-11,8.881784197001252e-16,120
pts,mixture,11.456494125447884,28.032949027483227,0.9999999999829896,1.7010699822617798e-11,2.220446049250313e-16,80
reb,mixture,3.6388026013440196,5.543853185525451,0.9999999999999036,9.648824134374462e-14,2.220446049250313e-16,40
reb,mixture,2.938704647841871,4.542060403873572,0.9999999999999537,4.6627247804514224e-14,2.220446049250313e-16,40
reb,mixture,3.11821819188933,3.5997594590038755,1.0,0.0,0.0,40
reb,mixture,6.1537340286167055,9.700118565022699,0.9999999996748833,3.251168658103376e-10,2.220446049250313e-16,40
reb,mixture,1.3090608000054411,1.9865049324154676,0.9999999999999997,1.7721225891187885e-16,1.1102230246251565e-16,40
reb,mixture,3.140971480134369,5.1846295841069026,0.9999999999995537,4.464860400487445e-13,2.220446049250313e-16,40
reb,mixture,5.893069617491071,8.141033425549367,0.9999999999992402,7.59898220436824e-13,0.0,40
reb,mixture,2.266475835694836,4.656950811712518,0.9999999989150403,1.0849592575624428e-09,4.440892098500626e-16,40
reb,mixture,2.634147659352797,2.921072420437106,1.0,0.0,0.0,40
reb,mixture,5.231814620153306,8.208027159772051,0.9999999999525859,4.741437698165521e-11,2.220446049250313e-16,40
reb,mixture,1.056570183787164,1.586212589206898,0.9999999999999998,4.8442580217675587e-17,2.220446049250313e-16,40
reb,mixture,2.506560723615084,3.014122327677338,1.0000000000000004,0.0,4.440892098500626e-16,40
reb,mixture,1.7074047860639368,2.2455610883517467,1.0000000000000002,0.0,2.220446049250313e-16,40
reb,mixture,1.7641624453830431,2.2607652053494545,1.0000000000000004,0.0,4.440892098500626e-16,40
reb,mixture,3.5745231268553432,5.534718518288717,0.9999999999998128,1.871874327062263e-13,0.0,40
